container,Match,Container,Pallet,notes,Created TS
00008178101113837470,TRUE,TRUE,TRUE,,2/27/2021 11:05:26 AM
00008178101113837579,TRUE,TRUE,TRUE,,2/27/2021 11:39:32 AM
00008178101113837616,TRUE,TRUE,TRUE,,2/27/2021 1:14:04 PM
00008178101113838149,TRUE,TRUE,TRUE,,2/27/2021 12:49:11 PM
00008178101113838170,TRUE,TRUE,TRUE,,2/27/2021 11:16:53 AM
00008178101113838736,TRUE,TRUE,TRUE,,3/1/2021 11:40:11 AM
00008178101113838774,TRUE,TRUE,TRUE,,3/1/2021 7:58:41 AM
00008178101113838798,TRUE,TRUE,TRUE,,2/27/2021 10:56:23 AM
00008178101113838811,TRUE,TRUE,TRUE,,2/27/2021 12:37:25 PM
00008178101113842467,TRUE,TRUE,TRUE,,3/1/2021 3:04:53 PM
00008178101113843006,TRUE,TRUE,TRUE,,3/1/2021 3:12:32 PM
00008178101113843464,TRUE,TRUE,TRUE,,3/1/2021 3:10:25 PM
00008178101113843549,TRUE,TRUE,TRUE,,3/2/2021 5:29:05 AM
00008178101113843716,TRUE,TRUE,TRUE,,3/1/2021 3:19:30 PM
00008178101113846670,TRUE,TRUE,TRUE,,3/2/2021 8:39:25 AM
00008178101113846830,TRUE,TRUE,TRUE,,3/2/2021 5:57:32 AM
00008178101113847349,TRUE,TRUE,TRUE,,3/2/2021 5:43:30 AM
00008178101113862649,TRUE,TRUE,TRUE,,3/1/2021 7:57:10 AM
00008178101113866074,TRUE,TRUE,TRUE,,3/1/2021 12:11:01 PM
00008178101113866289,TRUE,TRUE,TRUE,,3/1/2021 8:36:08 AM
00008178101113866418,TRUE,TRUE,TRUE,,3/2/2021 5:53:19 AM
00008178101113866500,TRUE,TRUE,TRUE,,3/1/2021 1:47:27 PM
00008178101113866999,TRUE,TRUE,TRUE,,3/1/2021 12:16:17 PM
00008178101113867217,TRUE,TRUE,TRUE,,3/1/2021 8:44:52 AM
00008178101113867378,TRUE,TRUE,TRUE,,3/2/2021 5:58:15 AM
00008178101113867538,TRUE,TRUE,TRUE,,3/1/2021 1:46:46 PM
00008178101113867866,TRUE,TRUE,TRUE,,3/2/2021 5:52:32 AM
00008178101113867996,TRUE,TRUE,TRUE,,3/1/2021 8:35:28 AM
00008178101113868054,TRUE,TRUE,TRUE,,3/1/2021 12:10:21 PM
00008178101113868184,TRUE,TRUE,TRUE,,3/1/2021 1:20:17 PM
00008178101113868450,TRUE,TRUE,TRUE,,3/2/2021 5:23:39 AM
00008178101113868504,TRUE,TRUE,TRUE,,3/1/2021 3:00:56 PM
00008178101113869020,TRUE,TRUE,TRUE,,3/1/2021 11:46:14 AM
00008178101113869051,TRUE,TRUE,TRUE,,3/1/2021 8:02:53 AM
00008178101113869655,TRUE,TRUE,TRUE,,3/2/2021 5:26:35 AM
00008178101113869686,TRUE,TRUE,TRUE,,3/1/2021 3:03:59 PM
00008178101113869945,TRUE,TRUE,TRUE,,3/1/2021 11:50:15 AM
00008178101113870224,TRUE,TRUE,TRUE,,3/1/2021 8:06:55 AM
00008178101113870392,TRUE,TRUE,TRUE,,3/1/2021 1:27:50 PM
00008178101113871450,TRUE,TRUE,TRUE,,2/27/2021 11:07:18 AM
00008178101113871689,TRUE,TRUE,TRUE,,2/27/2021 11:18:28 AM
00008178101113871702,TRUE,TRUE,TRUE,,3/2/2021 11:06:25 AM
00008178101113872624,TRUE,TRUE,TRUE,,3/2/2021 8:23:06 AM
00008178101113872655,TRUE,TRUE,TRUE,,2/27/2021 12:43:43 PM
00008178101113872679,TRUE,TRUE,TRUE,,3/1/2021 1:26:40 PM
00008178101113872693,TRUE,TRUE,TRUE,,3/1/2021 11:49:38 AM
00008178101113872754,TRUE,TRUE,TRUE,,3/1/2021 8:06:15 AM
00008178101113873010,TRUE,TRUE,TRUE,,3/2/2021 5:25:50 AM
00008178101113873034,TRUE,TRUE,TRUE,,3/1/2021 3:03:16 PM
00008178101113873973,TRUE,TRUE,TRUE,,2/27/2021 1:14:44 PM
00008178101113876080,TRUE,TRUE,TRUE,,2/27/2021 1:23:30 PM
